_id,LineCode,StationCode,CompanyName,LineName,StationName,Note
298,e1f,115,大阪市交通局,NULL,長吉川辺二丁目,ながよしかわなべにちょうめ
299,e1f,116,大阪市交通局,NULL,恵我小学校,NULL
300,e1f,117,大阪市交通局,NULL,長吉川辺四丁目,NULL
301,e1f,11a,大阪市交通局,NULL,太融寺町,NULL
302,e1f,11b,大阪市交通局,NULL,源八橋,NULL
303,e1f,11c,大阪市交通局,NULL,中野町四丁目,NULL
304,e1f,11d,大阪市交通局,NULL,中野町三丁目,NULL
305,e1f,11e,大阪市交通局,NULL,都島区役所前,NULL
306,e1f,11f,大阪市交通局,NULL,都島中通,NULL
307,e1f,120,大阪市交通局,NULL,都島中通二丁目,NULL
308,e1f,121,大阪市交通局,NULL,都島中通三丁目,NULL
309,e1f,122,大阪市交通局,NULL,都島本通五丁目,NULL
310,e1f,123,大阪市交通局,NULL,内代町,うちんだいちょう
311,e1f,124,大阪市交通局,NULL,御幸町一丁目,NULL
312,e1f,125,大阪市交通局,NULL,御幸町二丁目,NULL
313,e1f,126,大阪市交通局,NULL,高殿二丁目,NULL
314,e1f,127,大阪市交通局,NULL,旭陽中学校前,NULL
315,e1f,128,大阪市交通局,NULL,新喜多東一丁目,赤バス城東ループ
316,e1f,129,大阪市交通局,NULL,西天満,NULL
317,e1f,12a,大阪市交通局,NULL,堀川小学校前,NULL
318,e1f,12b,大阪市交通局,NULL,東天満,NULL
319,e1f,12c,大阪市交通局,NULL,桜の宮橋,NULL
320,e1f,12d,大阪市交通局,NULL,東野田,NULL
321,e1f,12e,大阪市交通局,NULL,京橋北口,68系統
322,e1f,12f,大阪市交通局,NULL,蒲生桜小橋,NULL
323,e1f,130,大阪市交通局,NULL,蒲生三丁目,NULL
324,e1f,131,大阪市交通局,NULL,地下鉄蒲生四丁目,NULL
325,e1f,132,大阪市交通局,NULL,今福西四丁目,NULL
326,e1f,133,大阪市交通局,NULL,今福大橋,NULL
327,e1f,134,大阪市交通局,NULL,鶴見西口,NULL
328,e1f,135,大阪市交通局,NULL,鶴見,NULL
329,e1f,136,大阪市交通局,NULL,横堤,NULL
330,e1f,137,大阪市交通局,NULL,鶴見区役所前,NULL
331,e1f,138,大阪市交通局,NULL,諸口,NULL
332,e1f,139,大阪市交通局,NULL,東諸口,NULL
333,e1f,13a,大阪市交通局,NULL,浜,NULL
334,e1f,13b,大阪市交通局,NULL,安田,NULL
335,e1f,13c,大阪市交通局,NULL,南恩加島東,NULL
336,e1f,13d,大阪市交通局,NULL,天王田楠根公園,赤バス城東ループ
337,e1f,13e,大阪市交通局,NULL,天一橋,赤バス城東ループ
338,e1f,13f,大阪市交通局,NULL,天王田,てんのうでん　赤バス城東ループ
339,e1f,140,大阪市交通局,NULL,城運橋,赤バス城東ループ
340,e1f,141,大阪市交通局,NULL,地下鉄門真南,NULL
341,e1f,142,大阪市交通局,NULL,茨田大宮南,NULL
342,e1f,143,大阪市交通局,NULL,茨田大宮中,NULL
343,e1f,144,大阪市交通局,NULL,茨田大宮,まったおおみや
344,e1f,145,大阪市交通局,NULL,滝井,NULL
345,e1f,146,大阪市交通局,NULL,清水五丁目,NULL
346,e1f,147,大阪市交通局,NULL,清水小学校前,NULL
347,e1f,148,大阪市交通局,NULL,東中浜四丁目,赤バス城東ループ
348,e1f,149,大阪市交通局,NULL,清水二丁目,NULL
349,e1f,14a,大阪市交通局,NULL,旭東中学校前,NULL
350,e1f,14b,大阪市交通局,NULL,緑一丁目,NULL
351,e1f,14c,大阪市交通局,NULL,緑一丁目中,NULL
352,e1f,14d,大阪市交通局,NULL,鶴見六丁目,NULL
353,e1f,14e,大阪市交通局,NULL,鶴見五丁目,NULL
354,e1f,14f,大阪市交通局,NULL,今市一丁目,NULL
355,e1f,150,大阪市交通局,NULL,千林,NULL
356,e1f,151,大阪市交通局,NULL,森小路,NULL
357,e1f,152,大阪市交通局,NULL,高殿七丁目,NULL
358,e1f,153,大阪市交通局,NULL,高殿,NULL
359,e1f,154,大阪市交通局,NULL,地下鉄関目成育,NULL
360,e1f,155,大阪市交通局,NULL,関目一丁目,NULL
361,e1f,156,大阪市交通局,NULL,城東区役所前,NULL
362,e1f,157,大阪市交通局,NULL,生江一丁目,NULL
363,e1f,158,大阪市交通局,NULL,旭警察署,NULL
364,e1f,159,大阪市交通局,NULL,旭区役所区民センター前,NULL
365,e1f,15a,大阪市交通局,NULL,大宮一丁目,NULL
366,e1f,15b,大阪市交通局,NULL,森小路駅前,NULL
367,e1f,15c,大阪市交通局,NULL,新森公園前,NULL
368,e1f,15d,大阪市交通局,NULL,都島本通四丁目,NULL
369,e1f,15e,大阪市交通局,NULL,地下鉄野江内代,NULL
370,e1f,15f,大阪市交通局,NULL,成育三丁目,NULL
371,e1f,160,大阪市交通局,NULL,成育二丁目,NULL
372,e1f,161,大阪市交通局,NULL,菫市場前,すみれいちばまえ
373,e1f,162,大阪市交通局,NULL,古市車庫前,NULL
374,e1f,163,大阪市交通局,NULL,古市一丁目,NULL
375,e1f,200,大阪市交通局,NULL,今福東三丁目,NULL
376,e1f,201,大阪市交通局,NULL,今福西六丁目,NULL
377,e1f,202,大阪市交通局,NULL,今福東二丁目,NULL
378,e1f,203,大阪市交通局,NULL,東中浜公園,NULL
379,e1f,204,大阪市交通局,NULL,東中浜二丁目,NULL
380,e1f,205,大阪市交通局,NULL,関目六丁目,NULL
381,e1f,206,大阪市交通局,NULL,新森二丁目,NULL
382,e1f,207,大阪市交通局,NULL,関目四丁目,NULL
383,e1f,208,大阪市交通局,NULL,古市三丁目,NULL
384,e1f,209,大阪市交通局,NULL,古市二丁目,NULL
385,e1f,20a,大阪市交通局,NULL,関目二丁目,NULL
386,e1f,20b,大阪市交通局,NULL,関目保育所前,NULL
387,e1f,20c,大阪市交通局,NULL,関目三丁目,NULL
